Title,Year
#100. Moonlight,2016
#99. The Best of Youth,2003
#90. Manchester by the Sea,2016
#88. Spotlight,2015
#87. La La Land,2016
#85. No Country for Old Men,2007
#84. The Dark Knight,2008
#75. There Will Be Blood,2007
#74. Toy Story 3,2010
#73. The Lord of the Rings: The Two Towers,2002
"#68. 4 Months, 3 Weeks and 2 Days",2007
#65. Portrait of a Lady on Fire,2019
#62. Inside Out,2015
"#59. Quo Vadis, Aida?",2020
#53. 12 Years a Slave,2013
#52. Ratatouille,2007
#45. A Separation,2011
#35. Boyhood,2014
#33. WALLÂ·E,2008
#25. Pan's Labyrinth,2006
#23. The Lord of the Rings: The Fellowship of the Ring,2001
#16. Parasite,2019
#13. Spirited Away,2001
#5. The Lord of the Rings: The Return of the King,2003
